time;AAN155Free;AAN155_Ba
210,57129;1,32E+02;1,05E+03
211,18164;1,27E+02;1,05E+03
211,792;1,22E+02;1,12E+03
212,40234;1,20E+02;1,09E+03
213,0127;1,43E+02;1,04E+03
213,623;1,08E+02;1,13E+03
214,2334;1,40E+02;1,12E+03
214,84375;1,19E+02;1,10E+03
215,4541;1,02E+02;1,05E+03
216,06445;1,00E+02;1,10E+03
216,6748;1,12E+02;1,12E+03
217,28516;1,13E+02;1,05E+03
217,89551;1,15E+02;1,10E+03
218,50586;1,02E+02;1,08E+03
219,11621;1,15E+02;1,08E+03
219,72656;1,27E+02;1,04E+03
220,33691;1,04E+02;1,07E+03
220,94727;1,31E+02;1,08E+03
221,55762;1,16E+02;1,04E+03
222,168;1,26E+02;1,05E+03
222,77832;1,09E+02;1,06E+03
223,38867;1,13E+02;1,11E+03
223,999;1,03E+02;1,07E+03
224,60938;1,16E+02;1,10E+03
225,21973;1,05E+02;1,08E+03
225,83008;1,00E+02;1,13E+03
226,44043;1,09E+02;1,07E+03
227,05078;1,16E+02;1,05E+03
227,66113;1,08E+02;1,07E+03
228,27148;1,05E+02;1,02E+03
228,88184;1,15E+02;1,09E+03
229,49219;9,70E+01;1,07E+03
230,10254;1,18E+02;1,10E+03
230,71289;1,22E+02;1,11E+03
231,32324;1,10E+02;1,08E+03
231,93359;8,80E+01;1,06E+03
232,54395;9,90E+01;1,05E+03
233,1543;9,70E+01;1,02E+03
233,76465;9,70E+01;1,11E+03
234,375;1,24E+02;1,12E+03
234,98535;1,05E+02;1,03E+03
235,5957;9,00E+01;1,03E+03
236,20605;1,11E+02;1,07E+03
236,81641;9,30E+01;1,08E+03
237,42676;1,14E+02;1,07E+03
238,03711;8,70E+01;1,06E+03
238,64746;1,07E+02;1,05E+03
239,25781;8,50E+01;1,09E+03
239,86816;9,00E+01;1,04E+03
240,47852;1,07E+02;1,05E+03
241,08887;9,60E+01;1,09E+03
241,69922;9,40E+01;1,03E+03
242,30957;1,20E+02;1,05E+03
242,91992;1,06E+02;1,00E+03
243,53027;8,90E+01;1,04E+03
244,14063;9,10E+01;1,11E+03
244,751;9,90E+01;1,08E+03
245,36133;9,30E+01;1,07E+03
245,97168;1,20E+02;1,05E+03
246,582;1,13E+02;9,66E+02
247,19238;9,00E+01;1,02E+03
247,80273;1,04E+02;9,93E+02
248,41309;9,50E+01;1,01E+03
249,02344;1,07E+02;1,03E+03
249,63379;1,02E+02;1,02E+03
250,24414;8,70E+01;1,03E+03
250,85449;9,60E+01;1,06E+03
251,46484;9,90E+01;1,00E+03
252,0752;9,70E+01;1,03E+03
252,68555;9,00E+01;1,02E+03
253,2959;1,03E+02;1,01E+03
253,90625;8,70E+01;1,03E+03
254,5166;8,30E+01;1,02E+03
255,127;9,20E+01;1,05E+03
255,7373;9,70E+01;1,04E+03
256,34766;7,70E+01;9,89E+02
256,958;8,30E+01;9,77E+02
257,56836;8,50E+01;1,01E+03
258,17871;9,50E+01;1,01E+03
258,78906;8,80E+01;1,04E+03
259,39941;9,40E+01;1,06E+03
260,00977;9,40E+01;9,84E+02
260,62012;9,30E+01;1,03E+03
261,23047;9,10E+01;1,05E+03
261,84082;9,40E+01;1,02E+03
262,45117;9,90E+01;1,00E+03
263,06152;8,10E+01;1,05E+03
263,67188;8,90E+01;1,04E+03
264,28223;1,24E+02;9,39E+02
264,89258;9,50E+01;1,02E+03
265,50293;9,10E+01;1,01E+03
266,11328;9,20E+01;1,07E+03
266,72363;1,00E+02;1,00E+03
267,334;8,20E+01;1,03E+03
267,94434;1,00E+02;9,81E+02
268,55469;9,90E+01;1,03E+03
